Name,Name,Mercury,N_of_Fish,Elevation,Surface_Area,Maximum_Depth,Lake_Type,Stratification,Drainage_Area,Runoff_Factor,Flushings_per_Year,Impoundment_Class,Latitude_Degrees,Latitude_Minutes,Latitude_Seconds,Longitude Degrees,Longitude_Minutes,Longitude_Seconds
ALLEN.P,Allen Pond,1.08,3,425,83,27,3,1,2,0.6,2.8,1,44,57,44,68,5,7
ALLIGATOR.P,Alligator Pond,0.025,2,1494,47,26,2,0,1,0.69,0.8,1,45,37,50,69,12,30
ANASAGUNTICOOK.L,Anasagunticook Lake,0.57,5,402,568,54,2,1,15,0.56,1.1,0,44,25,13,70,19,22
BALCH&STUMP.PONDS,Balch&stump Lake,0.77,5,557,704,44,2,1,14,0.58,2.7,0,43,37,0,70,59,4
BASKAHEGAN.L,Baskahegan Lake,0.79,5,417,6944,22,2,0,123,0.57,2,1,45,30,32,67,50,2
BAUNEAG.BEG.L,Bauneag.beg Lake,0.75,4,205,200,29,2,1,18,0.51,9.6,0,43,21,46,70,44,23
BEAVER.P,Beaver Pond,0.27,5,397,128,8,3,0,2,0.61,7.9,1,43,59,47,70,49,26
BELDEN.P,Belden Pond,0.66,3,350,24,30,3,1,1,NA,NA,1,44,24,48,69,23,8
BEN.ANNIS.P,Ben.annis Pond,0.18,5,122,25,9,2,0,10,0.51,58.8,1,44,46,25,68,56,35
BOTTLE.L,Bottle Lake,1.05,5,298,281,42,2,1,8,0.48,2.1,1,45,18,36,68,3,17
BRACKETT.L,Brackett Lake,0.31,5,446,576,25,2,0,7,0.56,1.1,1,45,44,44,67,51,34
BRADBURY(BARKER).L,Bradbury(barker) Lake,0.81,2,449,38,45,1,1,17,0.51,24.5,1,46,8,10,68,0,31
BRAINARD.P,Brainard Pond,0.23,5,270,20,13,2,0,2,NA,NA,1,44,22,15,69,54,59
BRANCH.L(SOUTH),Branch.l(sout Lake,0.58,5,227,2035,28,2,0,12,0.51,0.6,0,45,23,27,68,40,43
BRANCH.P(EAST),Branch Pond,0.57,5,910,45,9,2,0,2,NA,NA,1,46,15,31,69,9,27
BRANCH.P(UPPER.MID),Branch Lake,0.43,3,341,467,55,1,1,4,0.58,0.5,1,44,54,0,68,14,45
BUBBLE.P,Bubble Pond,0.1,2,331,32,39,3,0,1,0.64,1.9,0,44,20,44,68,14,20
BURDEN.P,Burden Pond,0.49,5,639,197,32,3,1,17,0.58,10.5,1,45,20,42,69,14,44
BURNT.MEADOW.P,Burnt Meadow Pond,0.77,5,374,63,45,2,1,4,0.62,4.5,1,43,55,28,70,53,9
BURNT.P,Burnt Pond,0.41,5,328,315,27,3,0,NA,0.58,0.7,1,44,44,41,68,31,41
CANADA.FALLS.L,Canada Falls Lake,0.79,4,1235,2627,24,2,0,182,0.61,13.1,0,45,52,15,70,0,1
CARLTON.BOG(POND),Carlton.bog(pon Lake,0.29,5,203,430,8,2,0,23,0.51,20.1,0,44,42,14,69,16,21
CEDAR.L,Cedar Lake,0.91,4,500,685,25,2,0,5,0.51,0.6,1,45,31,14,68,48,32
CHAIN.OF.PONDS,Chain Pond,0.91,5,1273,700,106,1,1,65,0.62,4.3,0,45,21,8,70,41,50
CHANDLER.L,Chandler Lake,0.25,5,824,401,19,2,0,5,0.52,1.1,1,46,27,13,68,42,12
CHASE.L,Chase Lake,0.43,5,819,403,31,3,1,47,0.58,9.5,1,46,24,26,69,2,18
CHASE.P(FIRST),Chase.p(firs Lake,0.13,2,995,12,37,1,1,4,0.54,28.6,1,46,53,28,68,53,46
CHUB.P,Chub Pond,0.18,5,1095,24,19,2,1,0,0.46,0.8,1,45,27,30,70,18,20
CHURCHILL.L,Churchill Lake,0.26,5,922,2923,62,1,1,298,0.51,5.8,0,46,26,41,69,18,10
COBBOSSEECONTEE.L,Cobbosseecontee Lake,0.29,5,165,5543,100,2,1,131,0.51,1.1,0,44,15,10,69,56,30
CROSS.L,Cross Lake,0.39,5,578,2515,46,3,0,164,0.5,3.3,1,47,5,16,68,18,32
CRYSTAL(BEALS).P,Crystal(Beals) Pond,0.41,5,328,47,39,3,1,1,0.54,1.1,1,44,16,55,70,16,10
DAMARISCOTTA.L,Damariscotta Lake,0.21,4,54,4381,114,3,1,57,0.59,0.5,0,44,10,45,69,28,30
DEBSCONEAG.L(4TH),Debsconeag Lake,0.43,2,634,227,150,1,1,6,0.53,0.5,1,45,45,4,69,4,43
DIMMICK.P(LITTLE),Dimmick Pond,0.05,4,1390,41,14,2,0,4,0.66,19.4,1,45,13,45,69,52,25
DUCK.L,Duck Lake,0.22,5,519,1222,88,1,1,6,NA,NA,1,45,9,0,68,5,35
