Date Made Public,City,State,Type of breach,Type of organization,Total Records,Year of Breach,Latitude,Longitude
22-Apr-14,Ames,Iowa,HACK,EDU,"29,780",2014,42.025102,-93.64915
28-Apr-14,New York,New York,HACK,BSO,0,2014,40.730601,-73.991522
3-Apr-14,Portland ,Oregon,INSD,NGO,15,2014,45.525003,-122.676214
30-Apr-14,Pismo Beach,California,HACK,BSR,0,2014,35.142753,-120.641283
1-May-14,Suwanee,Georgia,HACK,BSO,0,2014,34.05149,-84.0713
5-May-14,Sacramento,California,HACK,BSO,0,2014,38.582053,-121.505066
6-May-14,Rancho Cordova,California,PHYS,GOV,0,2014,38.589072,-121.302728
26-Feb-14,Albany,New York,HACK,BSO,441,2014,42.655233,-73.759752
27-Feb-14,Birmingham,Alabama,INSD,BSO,23,2014,33.466063,-86.773854
18-Apr-14,Pittsburgh,Pennsylvania,HACK,MED,"62,000",2014,40.440625,-79.995886
14-May-14,Irvine ,California,HACK,EDU,0,2014,33.645619,-117.835899
7-May-14,Tempe,Arizona,HACK,BSR,0,2014,33.419942,-111.940379
6-May-14,Long Beach,California,PHYS,MED,"5,000",2014,33.766648,-118.200183
11-Apr-14,Kansas City,Missouri,HACK,NGO,"55,000",2014,39.066814,-94.591009
9-May-14,Dallas,Texas,HACK,MED,"1,981",2014,32.789961,-96.780593
21-May-14,Mechanicsburg,Pennsylvania,HACK,BSO,0,2014,40.202038,-76.964389
21-May-14,San Jose,California,HACK,BSO,"145,000,000",2014,37.29546,-121.927551
28-May-14,Denver ,Colorado,STAT,BSF,248,2014,39.732103,-104.936152
23-May-14,Atlanta,Georgia,PORT,MED,"2,962",2014,33.748995,-84.387982
22-May-14,San Diego ,California,DISC,EDU,0,2014,32.715738,-117.161084
19-May-14,Mooresville,North Carolina,DISC,BSR,0,2014,35.5418,-80.853851
25-Apr-14,Nashville,Tennessee,DISC,BSO,0,2014,36.1502,-86.685322
22-Apr-14,Horsham,Pennsylvania,DISC,BSF,0,2014,40.169434,-75.139259
3-Jan-14,Williston,Vermont,DISC,GOV,0,2014,44.436707,-73.111325
7-Jan-14,Ashburn,Virginia,DISC,EDU,0,2014,39.033554,-77.517474
15-Jan-14,Burlington,Vermont,DISC,GOV,0,2014,44.476303,-73.212821
10-Feb-14,Dallas,Texas,DISC,BSF,0,2014,32.776664,-96.796988
20-Feb-14,Sacramento ,California,DISC,GOV,0,2014,38.581779,-121.492088
27-Feb-14,Boston,Massachusetts,PORT,BSF,0,2014,42.360083,-71.05888
11-Mar-14,Atlanta,Georgia,PORT,MED,826,2014,33.748995,-84.387982
11-Mar-14,Hight Point,North Carolina,PORT,MED,548,2014,35.944044,-80.036678
27-Feb-14,Los Angeles,California,DISC,MED,0,2014,34.089854,-118.30934
11-Mar-14,Duarte,California,STAT,MED,0,2014,34.128758,-117.973393
12-Mar-14,San Francisco,California,STAT,MED,"9,986",2014,37.732771,-122.491094
13-Mar-14,Irvine,California,PORT,BSF,0,2014,33.670458,-117.857625
21-Mar-14,San Francisco,California,STAT,MED,0,2014,37.77493,-122.419416
25-Mar-14,Lexington,Kentucky,PORT,MED,"1,079",2014,38.040584,-84.503716
27-Mar-14,Orlando ,Florida,PORT,MED,586,2014,28.538336,-81.379237
28-Mar-14,Escondido,California,PORT,MED,"5,000",2014,33.119207,-117.086421
3-Apr-14,Portland ,Oregon,DISC,BSF,0,2014,45.523062,-122.676482
14-Apr-14,Kansas City ,Missouri,DISC,BSF,0,2014,39.099727,-94.578567
22-Apr-14,Dallas,Texas,DISC,BSO,0,2014,32.926169,-96.843754
28-May-14,Los Angeles,California,STAT,MED,0,2014,33.988023,-118.264835
3-Jun-14,Carlsbad,California,HACK,BSO,0,2014,33.126525,-117.271899
29-May-14,Helena,Montana,HACK,MED,0,2014,46.585599,-112.014112
26-May-14,Suwanee,Georgia,HACK,BSR,0,2014,34.05149,-84.0713
26-May-14,Austin,Texas,HACK,BSO,0,2014,30.267153,-97.743061
22-May-14,Mooresville,North Carolina,DISC,BSR,"35,000",2014,35.5418,-80.853851
4-Jun-14,Hutchinson,Kansas,UNKN,BSF,0,2014,38.060845,-97.929774
14-May-14,Mechanicsburg,Pennsylvania,HACK,BSF,"233,000",2014,40.202038,-76.964389
12-Jun-14,Santa Rosa,California,PHYS,MED,"33,702",2014,38.44216,-122.701844
7-May-14,Greenfield,California,STAT,BSF,0,2014,36.3208,-121.243814
8-May-14,Boulder,Colorado,PHYS,MED,16,2014,40.014986,-105.270546
28-Apr-14,Austin,Texas,INSD,MED,180,2014,30.405378,-97.743808
7-Jun-14,Atlanta,Georgia,INSD,BSR,0,2014,33.770464,-84.381396
10-Jun-14,Columbus,Georgia,DISC,MED,"1,175",2014,32.505724,-84.960145
6-Jun-14,,Florida,UNKN,GOV,0,2014,27.664827,-81.515754
6-Jun-14,Hershey ,Pennsylvania,INSD,MED,"1,801",2014,40.264038,-76.676678
10-Jun-14,Hartford,Connecticut,INSD,BSF,413,2014,41.763711,-72.685093
22-May-14,Ashland,Kentucky,UNKN,BSF,0,2014,38.473212,-82.630552
17-Jun-14,Coupeville,Washington,HACK,BSO,550,2014,48.219821,-122.68628
19-Jun-14,San Diego,California,DISC,MED,"14,100",2014,32.715738,-117.161084
9-Jun-14,Palm Desert,California,INSD,EDU,"1,900",2014,33.731885,-116.385452
16-Jun-14,Riverside,California,DISC,EDU,"35,212",2014,33.953349,-117.396156
5-Jun-14,Pittsburgh,Pennsylvania,DISC,BSF,"3,675",2014,40.440625,-79.995886
30-May-14,Jonesboro,Arkansas,HACK,EDU,"50,000",2014,35.842297,-90.704279
11-Jun-14,Palo Alto,California,DISC,BSF,"18,000",2014,37.441883,-122.14302
23-May-14,Addison,Texas,HACK,BSF,11,2014,32.97668,-96.827077
21-May-14,Hanover,Pennsylvania,DISC,BSO,"5,867",2014,39.800655,-76.983036
28-May-14,Tremont ,Illinois,HACK,BSO,0,2014,40.481329,-89.484065
20-Jun-14,Washington,District Of Columbia,HACK,EDU,0,2014,38.906548,-77.037322
24-Jun-14,Moreno Valley,California,PORT,MED,0,2014,33.912178,-117.196004
18-Jun-14,New York,New York,HACK,BSO,0,2014,40.712784,-74.005941
30-Jun-14,Indianapolis,Indiana,HACK,EDU,"163,000",2014,39.840061,-86.172037
26-Jun-14,Birmingham,Alabama,PORT,BSF,0,2014,33.474983,-86.767214
26-Jun-14,Houston,Texas,HACK,BSO,0,2014,29.760427,-95.369803
27-Jun-14,St. Louis,Missouri,HACK,BSF,0,2014,38.651246,-90.341318
26-Jun-14,Orange,New Jersey,HACK,EDU,0,2014,40.770619,-74.232648
2-Jul-14,Uxbridge,Massachusetts,PORT,EDU,0,2014,42.075367,-71.628864
2-Jul-14,Somersworth,New Hampshire,PORT,BSF,"3,000",2014,43.261655,-70.865628
2-Jul-14,Milford,Massachusetts,PORT,EDU,25,2014,42.139858,-71.516305
2-Jul-14,New York,New York,DISC,BSF,0,2014,40.712784,-74.005941
4-Jul-14,Indianapolis,Indiana,DISC,MED,"63,000",2014,39.768403,-86.158068
3-Jul-14,Tuscon,Arizona,PORT,BSO,0,2014,32.316195,-111.010502
7-Jul-14,Boston,Massachusetts,HACK,BSO,0,2014,42.34974,-71.032134
26-Jun-14,Greenwich,Connecticut,HACK,BSR,"120,000",2014,41.016612,-73.649675
8-Jul-14,Irving,Texas,PORT,BSO,0,2014,32.864185,-96.943929
9-Jul-14,Washington,District Of Columbia,HACK,GOV,0,2014,38.894721,-77.044149
8-Jul-14,Houston ,Texas,HACK,BSO,0,2014,29.768061,-95.459858
3-Jul-14,San Francisco,California,DISC,BSF,"18,000",2014,37.77493,-122.419416
11-Jul-14,Dallas,Texas,HACK,BSO,0,2014,32.776664,-96.796988
16-Jul-14,Portland,Oregon,DISC,NGO,15,2014,45.525003,-122.676214
17-Jul-14,Miami,Florida,HACK,BSF,"72,500",2014,25.772085,-80.191299
14-Jul-14,Orangeburg,South Carolina,PORT,EDU,"20,000",2014,33.544593,-80.826047
11-Jul-14,Seattle,Washington,HACK,BSO,0,2014,47.60621,-122.332071
23-Jun-14,Washington,District Of Columbia,HACK,BSF,40,2014,38.907192,-77.036871
10-Jul-14,Philadelphia,Pennsylvania,HACK,EDU,"1,176",2014,39.952584,-75.165222
11-Jul-14,Fortworth,Texas,HACK,BSO,0,2014,32.755488,-97.330766
8-Jul-14,Los Angles,California,HACK,BSO,0,2014,34.050639,-118.257575
15-Jul-14,Towson,Maryland,HACK,BSO,0,2014,39.402886,-76.602697
16-Jul-14,Sausalito,California,STAT,MED,"2,780",2014,37.868158,-122.500181
21-Jul-14,Richmond,Virginia,HACK,BSO,"1,700",2014,37.536937,-77.431397
18-Jul-14,Philadelphia,Pennsylvania,PHYS,MED,661,2014,39.944858,-75.172654
16-Jul-14,Apple Valley,California,DISC,MED,500,2014,34.468218,-117.241622
15-Jul-14,Encinitas,California,DISC,GOV,0,2014,33.036987,-117.291982
11-Jul-14,Chicago,Illinois,HACK,EDU,0,2014,41.878114,-87.629798
16-Jul-14,Castle Rock,Colorado,PORT,EDU,0,2014,39.375974,-104.859398
22-Jul-14,Brooklyn,New York,HACK,BSO,0,2014,40.678178,-73.944158
14-Jul-14,New York,New York,HACK,BSO,0,2014,40.712784,-74.005941
28-Jul-14,Eugene,Oregon,HACK,BSR,0,2014,44.057925,-123.120994
30-Jul-14,Atlanta,Georgia,DISC,BSR,350,2014,33.748995,-84.387982
30-Jul-14,Milton ,Washington,PHYS,BSR,521,2014,47.247803,-122.295901
23-Jul-14,New York,New York,HACK,BSO,0,2014,40.712784,-74.005941
20-Mar-14,Santa Maria,California,DISC,MED,0,2014,34.951241,-120.413334
6-Mar-14,Los Angeles,California,STAT,MED,"168,000",2014,34.052234,-118.243685
11-Jun-14,Scottsdale,Arizona,HACK,BSO,0,2014,33.7001,-111.91542
30-Jun-14,San Antonio,Texas,PORT,MED,300,2014,29.424122,-98.493628
28-May-14,Oregon,Ohio,INSD,MED,500,2014,41.620787,-83.479951
22-May-14,Montgomery,Alabama,INSD,GOV,"7,000",2014,32.379177,-86.30582
19-May-14,Parsippany,New Jersey,DISC,BSO,"35,000",2014,40.869136,-74.419138
1-Mar-14,Los Angeles,California,UNKN,MED,0,2014,34.052234,-118.243685
30-Jul-14,West Chester,Pennsylvania,HACK,BSR,0,2014,39.960664,-75.605488
20-Jun-14,Irvine,California,INSD,BSF,0,2014,33.684567,-117.826505
31-Jul-14,Kent,Washington,HACK,BSR,0,2014,47.380934,-122.234843
17-Mar-14,Baltimore,Maryland,HACK,GOV,"14,000",2014,39.302006,-76.621278
8-Jul-14,Kansas City,Missouri,INSD,EDU,0,2014,39.099727,-94.578567
17-Jul-14,Burbank,California,HACK,BSR,0,2014,34.180839,-118.308966
5-Aug-14,Concord,Massachusetts,HACK,BSR,0,2014,42.460372,-71.348948
7-Aug-14,Santa Barbara,California,HACK,EDU,0,2014,34.420831,-119.69819
5-Aug-14,Unknown,Wisconsin,HACK,BSO,"1,000,000,000",2014,41.899183,-87.946671
7-Aug-14,Los Angeles,California,DISC,BSF,0,2014,34.140291,-118.183068
7-Aug-14,San Mateo,California,INSD,MED,0,2014,37.531268,-122.299298
12-Aug-14,Hauppauge,New York,HACK,BSR,0,2014,40.809529,-73.258768
18-Aug-14,New Hope,Pennsylvania,HACK,BSO,0,2014,40.364273,-74.951279
20-Aug-14,Atlanta,Georgia,HACK,BSR,0,2014,33.748995,-84.387982
15-Aug-14,Boise,Idaho,HACK,BSO,0,2014,43.61871,-116.214607
15-Aug-14,Eden Prairie,Minnesota,HACK,BSO,0,2014,44.874768,-93.410996
22-Aug-14,Los Angeles,California,DISC,MED,0,2014,34.052234,-118.243685
25-Aug-14,Ann Arbor,Michigan,DISC,MED,"3,334",2014,42.283766,-83.751185
26-Aug-14,Milpitas,California,PHYS,BSO,80,2014,37.432334,-121.899574
26-Aug-14,Orange.,California,PHYS,MED,"10,000",2014,33.787914,-117.853101
26-Aug-14,Long Beach,California,PHYS,MED,0,2014,33.77005,-118.19374
12-Aug-14,Orange,California,PHYS,MED,"49,000",2014,33.787914,-117.853101
10-Feb-14,Miami,Florida,PHYS,MED,"13,000",2014,25.76168,-80.19179
18-Aug-14,Franklin,Tennessee,HACK,MED,"4,500,000",2014,35.925064,-86.86889
26-Aug-14,Pawcatuck,Connecticut,HACK,NGO,0,2014,41.377322,-71.83368
26-Aug-14,Los Angeles,California,PORT,BSO,0,2014,34.052234,-118.243685
29-Jul-14,Chicago ,Illinois,DISC,BSO,0,2014,41.881019,-87.632895
4-Jun-14,Peoria,Illinois,PORT,MED,0,2014,40.693649,-89.588986
29-Aug-14,Houston,Texas,INSD,MED,"10,604",2014,29.760427,-95.369803
29-Aug-14,Los Angeles,California,INSD,MED,"2,995",2014,34.052234,-118.243685
29-Aug-14,Beachwood,Ohio,PORT,MED,"6,141",2014,41.461743,-81.492892
4-Sep-14,Washington,District Of Columbia,HACK,GOV,0,2014,38.907192,-77.036871
9-Sep-14,North Port,Florida,HACK,BSO,0,2014,27.044224,-82.235925
10-Sep-14,San Diego,California,HACK,BSO,"55,000",2014,32.726344,-117.223356
14-Jul-14,Rockville,Maryland,HACK,BSR,"868,000",2014,39.083997,-77.152758
12-Sep-14,Napa,California,PORT,GOV,0,2014,38.298602,-122.286168
5-Sep-14,Hayward,California,HACK,EDU,0,2014,37.657128,-122.056745
5-Sep-14,Phoenix,Arizona,HACK,BSR,0,2014,33.682492,-112.080993
1-Sep-14,Cupertino,California,HACK,BSO,0,2014,37.322998,-122.032182
15-Sep-14,Austin,Texas,PORT,BSF,0,2014,30.267153,-97.743061
22-Aug-14,Los Angeles,California,PORT,MED,"33,136",2014,34.052234,-118.243685
22-Sep-14,San Francisco,California,HACK,BSO,0,2014,37.771704,-122.402634
25-Sep-14,Menlo Park,California,PORT,BSO,0,2014,37.478576,-122.150825
26-Sep-14,San Francisco,California,HACK,NGO,0,2014,37.652912,-122.396383
29-Sep-14,Spokane ,Washington,HACK,BSR,0,2014,47.656897,-117.420752
1-Oct-14,Batvia,Illinois,HACK,BSR,0,2014,41.850028,-88.312574
17-Jul-14,Baltimore,Maryland,DISC,BSF,0,2014,39.29127,-76.614337
15-Jul-14,San Francisco,California,HACK,BSF,0,2014,37.790773,-122.401906
27-Aug-14,Edina,Minnesota,HACK,BSR,0,2014,44.889687,-93.349949
10-Jun-14,Des Peres,Missouri,INSD,BSR,0,2014,38.603387,-90.461726
6-Oct-14,Dallas,Texas,INSD,BSR,"1,600",2014,32.779561,-96.798889
9-Oct-14,Manhattan,New York,HACK,BSR,0,2014,40.78306,-73.971249
1-Oct-14,Provo,Utah,HACK,EDU,"1,400",2014,40.233844,-111.658534
1-Oct-14,Hays,Kansas,DISC,EDU,138,2014,38.879178,-99.32677
29-Sep-14,Birmingham ,Alabama,PORT,MED,0,2014,33.520661,-86.80249
29-Sep-14,Gainesville,Florida,DISC,MED,0,2014,29.651634,-82.324826
7-Oct-14,Purchase,New York,DISC,BSF,0,2014,41.040014,-73.714448
2-Oct-14,San Jose,California,PORT,NGO,0,2014,37.336594,-121.919007
13-Oct-14,,California,HACK,BSO,"200,000",2014,40.760537,-73.97889
10-Oct-14,Hoffman Estates,Illinois,HACK,BSR,0,2014,42.077243,-88.215203
26-Jun-14,Salina,Kansas,DISC,MED,500,2014,38.828341,-97.600796
10-Oct-14,Sausalito,California,HACK,BSO,0,2014,37.857401,-122.480138
13-Oct-14,Sacramento,California,HACK,MED,0,2014,38.554761,-121.456308
14-Oct-14,Pen Argyl,Pennsylvania,HACK,BSR,0,2014,40.865686,-75.260081
23-Oct-14,Pequannock,New Jersey,HACK,BSR,0,2014,40.941631,-74.283856
17-Oct-14,Naperville,Illinois,HACK,BSR,0,2014,41.792879,-88.201676
23-Oct-14,Wilmington ,California,HACK,BSR,0,2014,33.779802,-118.253559
10-Oct-14,Portland,Oregon,HACK,GOV,"850,000",2014,45.523062,-122.676482
3-Nov-14,Jacksonville,Florida,HACK,BSF,0,2014,30.318178,-81.676431
10-Nov-14,Washington,District Of Columbia,HACK,GOV,"800,000",2014,38.907192,-77.036871
13-Nov-14,Washington,District Of Columbia,HACK,GOV,0,2014,38.907192,-77.036871
10-Nov-14,Southern and Northern California cities,California,DISC,BSF,0,2014,37.597754,-122.044609
10-Nov-14,Chapel Hill,North Carolina,HACK,MED,0,2014,35.911101,-78.986943
3-Oct-14,New York,New York,PORT,MED,"10,790",2014,40.732649,-73.981616
7-Nov-14,Miami,Florida,HACK,MED,"8,000",2014,25.76168,-80.19179
12-Nov-14,Dallas,Texas,HACK,MED,"60,582",2014,32.776664,-96.796988
14-Nov-14,Seattle ,Washington,DISC,EDU,"8,000",2014,47.60621,-122.332071
22-Aug-14,Falls Church,Virginia,HACK,GOV,"25,000",2014,38.882334,-77.171091
14-Oct-14,Gaffney ,South Carolina,PORT,MED,0,2014,35.071795,-81.64982
3-Oct-14,Brentwood,Tennessee,DISC,MED,0,2014,36.033116,-86.782777
14-Nov-14,Greensboro,North Carolina,DISC,MED,"2,076",2014,36.072635,-79.791975
9-Oct-14,San Antonio,Texas,DISC,MED,"4,000",2014,29.424122,-98.493628
9-Oct-14,Detroit,Michigan,DISC,MED,0,2014,42.331427,-83.045754
17-Nov-14,Washington,District Of Columbia,HACK,GOV,0,2014,38.907192,-77.036871
9-Oct-14,Gresham,Oregon,PORT,MED,"1,300",2014,45.528806,-122.494864
10-Oct-14,Atlanta ,Georgia,PORT,GOV,"3,397",2014,33.754158,-84.390589
10-Oct-14,Denver,Colorado,DISC,GOV,"15,000",2014,39.739236,-104.990251
13-Oct-14,Brookville,Pennsylvania,HACK,MED,0,2014,41.161175,-79.083092
25-Nov-14,Houston,Texas,DISC,GOV,"2,000,000",2014,29.760427,-95.369803
28-Nov-14,Cleveland,Ohio,INSD,MED,692,2014,41.49932,-81.694361
13-Oct-14,Oak Partk,Michigan,DISC,MED,0,2014,42.45948,-83.182705
2-Dec-14,Dallas,Texas,PORT,MED,0,2014,32.776664,-96.796988
14-Nov-14,Chico,California,UNKN,MED,0,2014,39.728494,-121.837478
25-Nov-14,Pleasanton,California,HACK,GOV,0,2014,37.662431,-121.874679
25-Nov-14,New York,New York,PORT,BSR,0,2014,40.75329,-73.994868
1-Dec-14,Los Angeles,California,HACK,BSO,0,2014,34.052234,-118.243685
26-Nov-14,Redwood City,California,HACK,BSO,0,2014,37.539421,-122.2567
5-Dec-14,Brisbane,California,HACK,BSR,0,2014,37.680766,-122.399972
9-Dec-14,South Plainfield,New Jersey,HACK,BSF,0,2014,40.57927,-74.41154
1-Dec-14,Highlands,North Carolina,DISC,MED,"25,000",2014,35.085886,-83.187267
27-May-14,Kansas City ,Missouri,PHYS,MED,"1,500",2014,39.099727,-94.578567
21-Jun-14,Nassau,New York,INSD,MED,"96,998",2014,42.515915,-73.610116
6-Dec-14,Monroe County,New York,DISC,MED,47,2014,43.284125,-77.745208
11-Dec-14,El Cajon,California,PORT,BSO,0,2014,32.812602,-116.972987
11-Dec-14,St. Louis,Missouri,HACK,BSO,0,2014,38.627003,-90.199404
12-Dec-14,Jacksonville,Florida,PORT,BSO,0,2014,30.25628,-81.599016
12-Dec-14,Berkeley,California,HACK,EDU,0,2014,37.871593,-122.272747
26-Dec-14,New York,New York,HACK,BSO,0,2014,40.712784,-74.005941
26-Dec-14,Redmond ,Washington,HACK,BSO,0,2014,47.673988,-122.121512
20-Oct-14,Framingham,Massachusetts,HACK,BSR,"1,200,000",2014,42.279286,-71.416157
28-Aug-14,New York,New York,HACK,BSF,"76,000,000",2014,40.712784,-74.005941
6-Jan-15,Santa Clara,California,HACK,BSO,0,2014,37.370012,-121.96535
23-Dec-14,Santa Rosa,California,PORT,BSO,0,2014,38.448569,-122.731675
23-Dec-14,San Francisco,California,HACK,BSO,0,2014,37.77471,-122.41009
24-Dec-14,Burbank,California,HACK,BSO,0,2014,34.180839,-118.308966
7-Jan-15,New York,New York,HACK,BSO,0,2014,40.72679,-74.005396
2-Jan-15,Atlanta,Georgia,HACK,BSO,0,2015,33.613826,-84.489645
24-Dec-14,Grants Pass,Oregon,HACK,BSR,0,2014,42.439007,-123.328393
3-Nov-14,Palm Springs,California,PORT,BSF,0,2014,33.82845,-116.516148
21-Jan-15,Harlingen,Texas,PORT,MED,0,2015,26.190631,-97.696103
21-Jan-15,Mount Pleasant,Texas,HACK,EDU,915,2015,33.156786,-94.968269
26-Dec-14,Roseville,California,PORT,MED,0,2014,38.761189,-121.249122
30-Jan-15,Lincoln City,Oregon,HACK,BSO,0,2015,44.986413,-124.007236
16-Jan-15,Santa Rosa,California,HACK,BSR,0,2015,38.417615,-122.715309
15-Jan-15,Denver,Colorado,DISC,BSF,0,2015,39.739236,-104.990251
23-Jan-15,San Francisco,California,INSD,MED,844,2015,37.77493,-122.419416
5-Feb-15,Indianapolis,Indiana,HACK,BSF,"80,000,000",2015,39.768403,-86.158068
18-Feb-15,Tallahassee,Florida,DISC,BSO,"12,000",2015,30.438256,-84.280733
3-Mar-15,Wayne,New Jersey,HACK,BSR,0,2015,40.980753,-74.256172
4-Mar-15,New York,New York,HACK,BSO,0,2015,40.766288,-73.982519
2-Mar-15,Lakewood,Colorado,HACK,BSR,0,2015,39.702286,-105.138164
31-Dec-14,Irvine,California,HACK,BSO,0,2014,33.684567,-117.826505
1-Jan-15,Altamonte Springs,Florida,HACK,EDU,0,2015,28.66149,-81.362108
1-Jan-15,Chicago,Illinois,HACK,BSO,0,2015,41.878114,-87.629798
27-Feb-15,San Francisco,California,HACK,BSO,"50,000",2015,37.77493,-122.419416
16-Mar-15,Redmond,Washington,HACK,MED,"151,626",2015,47.673988,-122.121512
16-Mar-15,San Francisco,California,HACK,BSO,0,2015,37.77493,-122.419416
3-Mar-15,New York,New York,PORT,BSF,0,2015,40.712784,-74.005941
2-Mar-15,Greensboro,North Carolina,PORT,BSF,0,2015,36.12375,-79.845807
27-Feb-15,Golden Valley,Minnesota,HACK,BSO,0,2015,45.002753,-93.363486
25-Feb-15,New York,New York,HACK,BSO,0,2015,40.712784,-74.005941
24-Feb-15,Santa Clara,California,PORT,MED,0,2015,37.347106,-121.959669
23-Feb-15,Georgetown,Texas,DISC,BSO,"8,700",2015,30.66072,-97.688207
18-Feb-15,Orono,Maine,PORT,EDU,941,2015,44.883113,-68.671941
16-Mar-15,Independence,Ohio,PORT,BSF,0,2015,39.091116,-94.415507
17-Feb-15,Escondido,California,PORT,EDU,0,2015,33.119207,-117.086421
3-Apr-15,Redmond,Washington,HACK,BSO,"11,266",2015,39.868614,-85.993002
30-Jan-15,New York,New York,HACK,BSO,0,2015,40.779492,-73.980262
13-Feb-15,Highland,California,PORT,BSF,0,2015,34.121651,-117.210412
12-Feb-15,Seattle,Washington,HACK,BSR,0,2015,47.62081,-122.361733
29-Dec-14,Chandler,Arizona,INSD,BSO,0,2014,33.303116,-111.842308
20-Feb-15,Los Angeles,California,PORT,MED,0,2015,34.034276,-118.239861
8-Apr-15,Dallas,Texas,INSD,BSO,"280,000",2014,32.776664,-96.796988
4-Nov-14,McClean,Virginia,HACK,BSO,0,2014,38.933868,-77.17726
14-Apr-15,Damariscotta,Maine,HACK,GOV,0,2015,44.032877,-69.518888
13-Apr-15,Grapevine,Texas,HACK,GOV,0,2015,32.934292,-97.078065
4-May-15,Denton,Texas,HACK,BSR,0,2015,33.184761,-97.099485
1-May-15,Allentown,Pennsylvania,HACK,BSO,"4,200",2015,40.608431,-75.490183
15-May-15,University Park,Pennsylvania,HACK,EDU,"18,000",2015,42.25125,-71.809495
2-Apr-15,Sacramento,California,DISC,GOV,0,2015,38.581572,-121.4944
2-Apr-15,Mclean ,Virginia,HACK,BSO,0,2015,38.930359,-77.219504
