Date Made Public,City,State,Type of breach,Type of organization,Total Records,Year of Breach,Latitude,Longitude
2-Jan-14,Fairfax,Virginia,HACK,MED,"4,748",2014,38.865768,-77.365235
15-Jan-14,Columbia,South Carolina,INSD,GOV,"4,658",2014,34.004034,-81.041745
29-Dec-13,New York,New York,UNKN,BSF,0,2014,40.713611,-74.014722
17-Jan-14,,District Of Columbia,UNKN,GOV,0,2014,38.907192,-77.036871
24-Jan-14,Hartford,Connecticut,PHYS,MED,858,2014,41.774963,-72.698412
2-Jan-14,Chicago,Illinois,HACK,BSO,0,2014,41.888758,-87.6373
1-Jan-14,Redmond,Washington,HACK,BSO,0,2014,47.639323,-122.128383
15-Feb-14,"Greenpoint, Brooklyn",New York,HACK,BSO,0,2014,40.724545,-73.94186
14-Feb-14,New York,New York,HACK,BSO,0,2014,40.73636,-73.993751
21-Feb-14,Salt Lake City,Utah,CARD,BSF,0,2014,40.760779,-111.891047
19-Feb-14,College Park,Maryland,HACK,EDU,"309,079",2014,38.989697,-76.93776
1-Jan-14,Venice,California,HACK,BSO,0,2014,33.992788,-118.478608
26-Feb-14,Bloomington,Indiana,HACK,EDU,"146,000",2014,39.16609,-86.526548
3-Mar-14,,Tokyo,HACK,BSF,0,2014,35.689488,139.691706
26-Feb-14,Cupertino,California,HACK,BSO,0,2014,37.332,-122.030781
3-Mar-14,Detroit,Michigan,HACK,GOV,"1,700",2014,42.331427,-83.045754
12-Feb-14,Las Vegas,Nevada,HACK,BSO,0,2014,36.169941,-115.13983
4-Mar-14,Orrville,Ohio,HACK,BSR,0,2014,40.847425,-81.762335
4-Mar-14,Salt Lake City,Utah,INSD,BSF,0,2014,40.760779,-111.891047
20-Feb-14,Anchorage,Alaska,HACK,BSR,0,2014,61.186219,-149.872264
5-Mar-14,New York,New York,HACK,BSF,0,2014,40.7086,-74.010012
27-Jan-14,Mayfield Heights,Ohio,HACK,BSO,0,2014,41.505845,-81.466993
6-Mar-14,Bismarck,North Dakota,HACK,EDU,"290,780",2014,46.820698,-100.782752
5-Mar-14,Pittsburgh,Pennsylvania,UNKN,EDU,"1,800",2014,40.438497,-80.001276
10-Mar-14,New York,New York,HACK,BSO,"50,000",2014,40.710923,-73.966924
5-Mar-14,Denton,Texas,HACK,BSR,"25,000",2014,33.214841,-97.133068
18-Mar-14,Vincent,Ohio,HACK,BSR,300,2014,39.374748,-81.670862
17-Mar-14,Southfield,Michigan,INSD,MED,0,2014,42.481965,-83.250079
17-Mar-14,Maple Grove,Minnesota,HACK,BSR,0,2014,45.072464,-93.455788
17-Mar-14,New York,New York,HACK,BSR,0,2014,40.719161,-73.994882
13-Mar-14,Detroit,Michigan,INSD,MED,"1,087",2014,42.331427,-83.045754
21-Mar-14,Malibu ,California,HACK,BSR,0,2014,34.039315,-118.583335
22-Mar-14,Sacramento ,California,HACK,GOV,0,2014,38.581572,-121.4944
18-Mar-14,,Pennsylvania,INSD,GOV,"20,000",2014,41.203322,-77.194525
25-Mar-14,New York,New York,HACK,BSF,0,2014,40.712784,-74.005941
27-Mar-14,Kenosha,Wisconsin,HACK,EDU,"15,000",2014,42.584743,-87.821185
2-Apr-14,Oakland,California,HACK,MED,"5,100",2014,37.804364,-122.271114
6-Apr-14,Uknown,,HACK,BSO,"36,802",2014,41.626271,-79.673584
2-Apr-14,Ridgefield Park,New Jersey,HACK,BSO,"158,128",2014,40.857044,-74.021529
7-Apr-14,New York,New York,CARD,BSF,0,2014,40.713611,-74.014722
2-Apr-14,Tehachapi,California,PHYS,GOV,0,2014,35.132188,-118.448974
27-Mar-14,Salt Lake City,Utah,HACK,GOV,0,2014,40.679179,-111.917551
8-Apr-14,San Francisco,California,HACK,BSO,0,2014,37.77493,-122.419416
9-Apr-14,Lenexa,Kansas,PHYS,MED,0,2014,38.975648,-94.723076
11-Apr-14,Tigard,Oregon,HACK,BSR,0,2014,45.420447,-122.75541
11-Apr-14,Knoxville,Tennessee,PHYS,MED,"1,144",2014,35.93459,-83.948264
