Name,Mercury,N_of_Fish,Elevation,Surface_Area,Maximum_Depth,Lake_Type,Stratification,Drainage_Area,Runoff_Factor,Flushings_per_Year,Impoundment_Class
Cobbosseecontee.L,0.29,5,165,5543,100,Eutropic,Yes,131,0.51,1.1,All Natural Flowage
Cross.L,0.39,5,578,2515,46,Mesotropic,No,164,0.5,3.3,Some Man-Made Flowage
Crystal(Beals).P,0.41,5,328,47,39,Mesotropic,Yes,1,0.54,1.1,Some Man-Made Flowage
Damariscotta.L,0.21,4,54,4381,114,Mesotropic,Yes,57,0.59,0.5,All Natural Flowage
Debsconeag.L(4Th),0.43,2,634,227,150,Oligotropic,Yes,6,0.53,0.5,Some Man-Made Flowage
Dimmick.P(Little),0.05,4,1390,41,14,Eutropic,No,4,0.66,19.4,Some Man-Made Flowage
Eagle.L,0.44,5,574,5581,136,Oligotropic,Yes,762,0.5,3.2,Some Man-Made Flowage
Embden.P,0.57,3,416,1568,158,Oligotropic,Yes,22,0.53,0.3,All Natural Flowage
Fields.P,0.96,5,109,182,31,Eutropic,No,3,0.51,8.2,All Natural Flowage
Fish.P,0.36,3,1503,211,58,Oligotropic,Yes,6,0.56,1.8,Some Man-Made Flowage
Fisher.P(Big),0.36,5,1150,60,11,Eutropic,No,1,0.56,2.9,Some Man-Made Flowage
Flying.P,0.35,4,345,360,80,Mesotropic,Yes,15,0.51,1.7,All Natural Flowage
Folsom.P,0.71,5,221,282,19,Eutropic,No,14,0.49,6.2,All Natural Flowage
Forest.L,1.22,5,276,210,38,Eutropic,Yes,3,0.53,1.4,All Natural Flowage
Graham.L,0.71,3,102,7865,47,Eutropic,No,499,0.58,5.8,All Natural Flowage
Grand.L(West),0.28,2,298,14340,128,Oligotropic,Yes,226,0.56,0.5,All Natural Flowage
Granger.P,0.73,5,524,126,28,Mesotropic,No,1,0.61,1,All Natural Flowage
Greenwood.P(Little),0.24,3,683,61,38,Oligotropic,Yes,1,0.61,1.1,Some Man-Made Flowage
Hay.L,0.24,2,653,588,34,Mesotropic,No,6,0.53,0.8,Some Man-Made Flowage
Hicks.P,0.9,5,683,93,18,Mesotropic,No,10,0.59,18.9,All Natural Flowage
Hodgdon.P,2.5,4,50,35,22,Eutropic,Yes,1,0.63,3.9,Some Man-Made Flowage
Horseshoe.L,0.8,3,454,202,20,Eutropic,No,2,0.58,1.1,Some Man-Made Flowage
Hosmer.P,0.071,3,212,53,16,Mesotropic,No,2,0.62,6.8,All Natural Flowage
Indian.P(Big),0.09,4,1209,280,68,Oligotropic,Yes,5,0.76,0.9,Some Man-Made Flowage
Jacob.Buck.P,0.77,4,205,190,52,Oligotropic,Yes,3,0.53,0.8,Some Man-Made Flowage
Jerry.P,0.62,5,717,272,13,Mesotropic,No,4,0.56,2.7,Some Man-Made Flowage
Jump.P,0.43,5,312,29,42,Mesotropic,Yes,1,0.56,3.3,Some Man-Made Flowage
Keene.L,0.35,3,195,115,37,Mesotropic,Yes,1,0.61,1.3,Some Man-Made Flowage
Keewaydin.L,0.89,2,676,307,52,Eutropic,Yes,9,0.06,0.3,All Natural Flowage
Kingsbury.P,0.34,5,929,390,62,Mesotropic,Yes,13,0.61,2.2,All Natural Flowage
Knight.P,0.28,5,101,49,18,Mesotropic,No,0,0.51,0.9,Some Man-Made Flowage
Lambert.L,0.45,5,419,605,60,Mesotropic,Yes,6,0.58,0.7,Some Man-Made Flowage
Lily.P,0.37,5,146,44,30,Mesotropic,Yes,0,0.46,1,Some Man-Made Flowage
Long.P,0.21,4,1157,3053,44,Mesotropic,No,558,0.46,20.3,Some Man-Made Flowage
Long.P,0.4,5,390,271,36,Mesotropic,Yes,3,0.58,0.9,Some Man-Made Flowage
Lovewell.P,0.45,5,357,1120,45,Eutropic,Yes,9,0.06,0.1,Some Man-Made Flowage
Machias.L(Fourth),1.12,5,311,1539,26,Mesotropic,No,66,0.56,4.7,Some Man-Made Flowage
Meddybemps.L,0.32,5,170,6765,38,Eutropic,No,45,0.62,0.6,All Natural Flowage
Molunkus.L,1.12,5,354,1050,38,Eutropic,No,35,0.52,2.5,All Natural Flowage
Mooseleuk.L,0.48,5,846,422,6,Eutropic,No,92,0.58,45.2,Some Man-Made Flowage
Nequasset.P,0.37,3,17,392,63,Mesotropic,Yes,21,0.58,2.3,All Natural Flowage
North.P,0.54,5,487,175,10,Mesotropic,No,1,0.57,1.5,All Natural Flowage
North.P,0.62,4,510,164,50,Eutropic,Yes,2,0.56,0.7,All Natural Flowage
Orange.L,0.86,5,76,234,24,Mesotropic,No,19,0.66,12.6,All Natural Flowage
Ossipee.L(Little),0.77,3,311,564,74,Eutropic,Yes,6,0.61,0.8,All Natural Flowage
Otter.P,0.16,4,1373,30,8,Eutropic,No,0,0.61,2.3,Some Man-Made Flowage
Otter.P,0.13,3,1633,14,18,Eutropic,No,0,0.71,1.8,Some Man-Made Flowage
Passagassawaukeag.L,0.55,5,304,118,40,Mesotropic,Yes,3,0.55,1.9,Some Man-Made Flowage
Pattee.P,0.38,5,141,712,27,Eutropic,No,17,0.46,2.3,Some Man-Made Flowage
Pease.P,0.36,5,377,109,19,Eutropic,No,2,0.58,2.2,Some Man-Made Flowage
Pennington.P,0.08,2,904,45,5,Eutropic,No,1,0.51,17.5,Some Man-Made Flowage
Pine.P(Big),0.67,1,1097,164,33,Mesotropic,Yes,5,0.51,3.3,Some Man-Made Flowage
Pitcher.P,0.67,5,204,367,38,Mesotropic,No,9,0.58,2.3,All Natural Flowage
Pleasant.L,0.48,5,232,339,36,Mesotropic,Yes,3,0.62,0.7,All Natural Flowage
Pleasant.P,0.6,5,362,239,15,Mesotropic,No,14,0.06,1.2,Some Man-Made Flowage
Range.P(Lower),1.25,3,306,290,41,Eutropic,Yes,14,0.51,3.7,All Natural Flowage
Roach.P(Second),0.22,5,1271,970,46,Mesotropic,No,25,0.66,2.1,All Natural Flowage
Roberts&Wadley.Pds,0.52,5,271,203,22,Mesotropic,No,9,0.58,10.1,All Natural Flowage
Rocky.P,0.68,5,312,153,14,Eutropic,No,2,0.57,1.8,Some Man-Made Flowage
Round(Grey).P,0.51,4,269,134,30,Eutropic,Yes,3,0.47,2.1,Some Man-Made Flowage
Round.P,0.44,5,474,161,32,Mesotropic,Yes,2,0.55,0.7,Some Man-Made Flowage
Round.P,0.57,1,34,250,34,Eutropic,Yes,116,0.61,43.7,Some Man-Made Flowage
Rowe.P,0.22,5,1203,205,43,Mesotropic,Yes,2,0.56,0.8,Some Man-Made Flowage
Sandy.River.P(Lower),0.1,3,1690,17,21,Eutropic,Yes,4,0.56,64.1,Some Man-Made Flowage
Sandy.River.P(Mid),0.37,5,1700,70,58,Mesotropic,Yes,4,0.56,3.8,Some Man-Made Flowage
Sennebec.P,0.41,3,87,532,57,Mesotropic,Yes,106,0.6,14.2,All Natural Flowage
Sewall.P,0.19,5,15,46,11,Eutropic,No,0,0.6,1.7,All Natural Flowage
Shin.P(Lower),0.47,5,778,638,25,Mesotropic,No,23,0.56,4.2,Some Man-Made Flowage
Sly.Brook.L(Second),0.37,5,637,13,21,Mesotropic,Yes,3,0.5,25.2,Some Man-Made Flowage
Spencer.P,0.14,3,1045,980,16,Mesotropic,No,21,0.61,5.4,All Natural Flowage
Squaw.P(Big),0.26,5,1486,91,96,Oligotropic,Yes,1,0.76,0.8,All Natural Flowage
Sunday.P,0.41,5,1409,30,50,Mesotropic,Yes,1,0.61,1.9,Some Man-Made Flowage
Symmes.P,0.18,5,499,36,30,Eutropic,Yes,1,0.61,3.3,All Natural Flowage
Third.L,0.36,2,751,474,37,Oligotropic,Yes,32,0.56,7.4,All Natural Flowage
Togue.P,0.11,5,1189,388,85,Oligotropic,Yes,4,0.56,0.3,Some Man-Made Flowage
Togus.P,0.12,5,180,660,49,Eutropic,Yes,5,0.51,0.5,Some Man-Made Flowage
Travel.P,0.82,4,204,102,6,Eutropic,No,14,0.57,50.9,Some Man-Made Flowage
Umbagog.L,0.29,5,1245,7850,48,Eutropic,No,600,0.56,9.2,All Natural Flowage
Umcolcus.L,0.43,4,882,630,17,Eutropic,No,15,0.61,2.9,Some Man-Made Flowage
Varnum.P,0.16,5,756,331,75,Oligotropic,Yes,4,0.61,0.5,All Natural Flowage
Wadleigh.P,0.41,5,913,225,90,Oligotropic,Yes,41,0.61,7.3,Some Man-Made Flowage
Webber.P,0.18,4,118,1201,41,Eutropic,Yes,28,0.51,1.6,All Natural Flowage
Weymouth.P,0.19,5,296,87,15,Eutropic,No,1,0.47,2,Some Man-Made Flowage
Wight.P,0.49,5,67,135,21,Mesotropic,Yes,11,0.58,5.9,All Natural Flowage
Wood.P(Little.Big),0.25,5,1244,713,80,Oligotropic,Yes,39,0.46,2,Some Man-Made Flowage
