Name,Mercury,N_of_Fish,Elevation,Surface_Area,Maximum_Depth,Lake_Type,Stratification,Drainage_Area,Runoff_Factor,Flushings_per_Year,Impoundment_Class
Allen.P,1.08,3,425,83,27,Mesotropic,Yes,2,0.6,2.8,Some Man-Made Flowage
Alligator.P,0.025,2,1494,47,26,Eutropic,No,1,0.69,0.8,Some Man-Made Flowage
Anasagunticook.L,0.57,5,402,568,54,Eutropic,Yes,15,0.56,1.1,All Natural Flowage
Balch&Stump.Ponds,0.77,5,557,704,44,Eutropic,Yes,14,0.58,2.7,All Natural Flowage
Baskahegan.L,0.79,5,417,6944,22,Eutropic,No,123,0.57,2,Some Man-Made Flowage
Bauneag.Beg.L,0.75,4,205,200,29,Eutropic,Yes,18,0.51,9.6,All Natural Flowage
Beaver.P,0.27,5,397,128,8,Mesotropic,No,2,0.61,7.9,Some Man-Made Flowage
Ben.Annis.P,0.18,5,122,25,9,Eutropic,No,10,0.51,58.8,Some Man-Made Flowage
Bottle.L,1.05,5,298,281,42,Eutropic,Yes,8,0.48,2.1,Some Man-Made Flowage
Brackett.L,0.31,5,446,576,25,Eutropic,No,7,0.56,1.1,Some Man-Made Flowage
Bradbury(Barker).L,0.81,2,449,38,45,Oligotropic,Yes,17,0.51,24.5,Some Man-Made Flowage
Branch.L(South),0.58,5,227,2035,28,Eutropic,No,12,0.51,0.6,All Natural Flowage
Branch.P(Upper.Mid),0.43,3,341,467,55,Oligotropic,Yes,4,0.58,0.5,Some Man-Made Flowage
Bubble.P,0.1,2,331,32,39,Mesotropic,No,1,0.64,1.9,All Natural Flowage
Burden.P,0.49,5,639,197,32,Mesotropic,Yes,17,0.58,10.5,Some Man-Made Flowage
Burnt.Meadow.P,0.77,5,374,63,45,Eutropic,Yes,4,0.62,4.5,Some Man-Made Flowage
Burnt.P,0.41,5,328,315,27,Mesotropic,No,,0.58,0.7,Some Man-Made Flowage
Cada.Falls.L,0.79,4,1235,2627,24,Eutropic,No,182,0.61,13.1,All Natural Flowage
Carlton.Bog(Pond),0.29,5,203,430,8,Eutropic,No,23,0.51,20.1,All Natural Flowage
Cedar.L,0.91,4,500,685,25,Eutropic,No,5,0.51,0.6,Some Man-Made Flowage
Chain.Of.Ponds,0.91,5,1273,700,106,Oligotropic,Yes,65,0.62,4.3,All Natural Flowage
Chandler.L,0.25,5,824,401,19,Eutropic,No,5,0.52,1.1,Some Man-Made Flowage
Chase.L,0.43,5,819,403,31,Mesotropic,Yes,47,0.58,9.5,Some Man-Made Flowage
Chase.P(First),0.13,2,995,12,37,Oligotropic,Yes,4,0.54,28.6,Some Man-Made Flowage
Chub.P,0.18,5,1095,24,19,Eutropic,Yes,0,0.46,0.8,Some Man-Made Flowage
Churchill.L,0.26,5,922,2923,62,Oligotropic,Yes,298,0.51,5.8,All Natural Flowage
